Name,Member Number,Class,5%,35%,Mean,65%,95%,Low Place,Mid Place,High Place,Actual Percent,Actual Place
Jake Walker,A119469,M,82.40089385864724,85.84542357886825,88.66171519057896,92.73448301931026,96.17901273953126,75,34,16,79.25595244680467,85
Michael Seeklander,TY30288,U,82.36903335119776,86.2362550856637,88.36322703961997,93.97069855459559,97.83792028906151,74,37,9,87.70986388674689,28
Ben Czyzewski,A122115,GM,82.09792811235769,85.55023237762485,89.0412785227014,92.45484090815918,95.90714517342636,74,33,17,89.05132297506105,23
Tim Dunderi,A116283,GM,81.72663029199241,85.14212382726198,88.75636864334896,91.97311089780109,95.38860443307064,78,34,20,84.92465900902228,41
Stephen Lutman,A78694,GM,81.41535809361075,84.94101446886447,88.8192424100301,91.99232721937192,95.51798359462565,80,34,20,80.51573873561148,70
Clark Cagle,A70601,M,81.36269747459315,84.21387440981187,86.57515966876049,89.91622828024927,92.76740521546797,101,51,30,82.76720630330821,54
Greg Jordan,TY60069,U,81.34328705168572,85.62009468751542,87.97233888722175,94.17370995917481,98.4505175950045,81,39,9,84.26201453565648,48
Kevin Izatt,A84955,M,81.20190896888434,84.59779525180957,87.64367784358012,91.38956781766001,94.78545410058524,88,41,23,85.72310052428341,39
Keanu Sy,TY103667,GM,81.06572974571006,84.13170920000773,87.18123775265208,90.26366810860308,93.32964756290075,97,47,29,79.9777376229339,77
Ryan Mcmaken,A123174,M,80.6098072710006,84.24790842096472,87.28258921346898,91.52411072089292,95.16221187085702,93,46,23,79.6688486118147,78
Henning Wallgren,A25335,M,80.39228900356123,84.09403647027084,87.69820587779533,91.49753140369008,95.19927887039967,92,41,23,84.28558243489996,47
Michael Norman,A132639,M,80.23997150113472,83.790428614447,87.20963005126367,90.89134284107152,94.44179995438378,99,47,26,81.66508112208848,60
Cameron Templin,A115726,GM,80.09239843893724,83.74158019393694,86.32588258944331,91.03994370393632,94.689125458936,104,51,25,87.23322221814765,32
Jim Steele,A134163,A,79.96965673166925,83.69367723103836,86.55798201304677,91.14171822977659,94.8657387291457,102,51,24,82.20465932467735,58
John Treat,A128047,M,79.7692431939973,83.66027145449213,86.94892992818295,91.44232797548182,95.33335623597668,101,48,23,80.51791799715126,69
Ben Brown,A95163,M,79.62955712222298,83.30979769761775,86.69195574802295,90.67027884840728,94.35051942380204,104,50,27,0.0,491
Carson Herding,A128043,M,79.47105880784675,82.85099791203648,86.07660472190182,89.61087612041594,92.99081522460565,107,52,31,79.2330918665436,86
Eric Steiner,TY81469,GM,78.93016969243008,82.90251034228223,85.46512096570488,90.84719164198648,94.8195322918386,108,56,26,84.04034777649456,49
Ben Egelston,A138379,M,78.900824722976,83.26523563088215,85.66566163023052,91.99405744669441,96.35846835460055,107,54,20,89.67804070626049,19
Magnus Krohn,TY132693,M,78.88862274807627,82.76043516933744,86.36632170429233,90.50406001185975,94.37587243312092,107,51,28,82.72236122090955,55
Patrick Posadas,A130592,M,78.88657426512773,82.81627791760702,86.39916543923017,90.67568522256559,94.60538887504488,106,51,27,79.42378694127385,79
Joshua Shaw,A91022,GM,78.87006070074806,82.50771083779938,85.95282813957414,89.78301111190203,93.42066124895334,108,52,31,82.76741089208058,53
Zachary McLaughlin,TY112345,GM,78.66540247755326,82.02995046814877,85.10543310247887,88.75904644933979,92.12359443993529,116,59,34,78.78739362366667,88
Roman Vrublevskiy,L5432,A,78.61556056404034,82.44985031003327,85.68947827079818,90.11842980201914,93.95271954801207,111,54,29,80.268476672975,72
Morgan Leonhardt,TY102754,M,78.5125599243489,81.96138239777443,85.28321231824505,88.85902734462545,92.30784981805095,116,58,34,78.19634355816821,93
